Match ID,Date,City,Venue,Teams,Winner,Result Type,Result Margin,Overs,Toss Winner,Toss Decision,Player of Match,Umpires,Match Referee,Match Type,Gender
406194,2010-02-12,Sydney,Sydney Cricket Ground,"Australia, West Indies",Null,no result,Null,50,West Indies,field,Null,"BF Bowden, BNJ Oxenford",J Srinath,ODI,male
406195,2010-02-14,Brisbane,"Brisbane Cricket Ground, Woolloongabba","Australia, West Indies",Australia,normal,50 runs,50,West Indies,field,RT Ponting,"BF Bowden, PR Reiffel",J Srinath,ODI,male
406196,2010-02-19,Melbourne,Melbourne Cricket Ground,"Australia, West Indies",Australia,normal,125 runs,50,Australia,bat,JR Hopes,"BF Bowden, BNJ Oxenford",J Srinath,ODI,male
406202,2010-01-22,Brisbane,"Brisbane Cricket Ground, Woolloongabba","Australia, Pakistan",Australia,normal,5 wickets,50,Pakistan,bat,CL White,"EAR de Silva, RJ Tucker",RS Madugalle,ODI,male
406203,2010-01-24,Sydney,Sydney Cricket Ground,"Australia, Pakistan",Australia,normal,140 runs,50,Pakistan,field,SR Watson,"EAR de Silva, RJ Tucker",RS Madugalle,ODI,male
406204,2010-01-26,Adelaide,Adelaide Oval,"Australia, Pakistan",Australia,normal,40 runs,50,Australia,bat,RJ Harris,"EAR de Silva, SJA Taufel",RS Madugalle,ODI,male
406205,2010-01-29,Perth,Western Australia Cricket Association Ground,"Australia, Pakistan",Australia,normal,135 runs,50,Australia,bat,RJ Harris,"EAR de Silva, RJ Tucker",RS Madugalle,ODI,male
406206,2010-01-31,Perth,Western Australia Cricket Association Ground,"Australia, Pakistan",Australia,normal,2 wickets,50,Pakistan,bat,CJ McKay,"EAR de Silva, PR Reiffel",RS Madugalle,ODI,male
410337,2009-08-09,Bulawayo,Queens Sports Club,"Zimbabwe, Bangladesh",Bangladesh,normal,8 wickets,50,Bangladesh,field,Mohammad Ashraful,"AM Saheba, RB Tiffin",J Srinath,ODI,male
410338,2009-08-11,Bulawayo,Queens Sports Club,"Zimbabwe, Bangladesh",Bangladesh,normal,49 runs,50,Zimbabwe,field,Shakib Al Hasan,"AM Saheba, RB Tiffin",J Srinath,ODI,male
410339,2009-08-14,Bulawayo,Queens Sports Club,"Zimbabwe, Bangladesh",Zimbabwe,normal,69 runs,50,Bangladesh,field,E Chigumbura,"AM Saheba, RB Tiffin",J Srinath,ODI,male
410340,2009-08-16,Bulawayo,Queens Sports Club,"Zimbabwe, Bangladesh",Bangladesh,normal,4 wickets,50,Zimbabwe,bat,"CK Coventry, Tamim Iqbal","KC Barbour, AM Saheba",J Srinath,ODI,male
410341,2009-08-18,Bulawayo,Queens Sports Club,"Zimbabwe, Bangladesh",Bangladesh,normal,5 wickets,50,Zimbabwe,bat,Dolar Mahmud,"KC Barbour, AM Saheba",J Srinath,ODI,male
415162,2009-08-19,Toronto,Maple Leaf North-West Ground,"Canada, Kenya",Canada,normal,9 wickets,50,Canada,field,Khurram Chohan,"K Bayney, NA Malcolm",DT Jukes,ODI,male
