Match ID,Date,City,Venue,Teams,Winner,Result Type,Result Margin,Overs,Toss Winner,Toss Decision,Player of Match,Umpires,Match Referee,Match Type,Gender
1359802,2023-03-04,Buenos Aires,"Belgrano Athletic Club Ground, Buenos Aires","Argentina, Cayman Islands",Cayman Islands,normal,3 wickets,20,Argentina,bat,Null,"Jermaine Lindo, N Duguid",Reon King,T20,male
1361770,2023-03-08,Mong Kok,"Mission Road Ground, Mong Kok, Hong Kong","Kuwait, Malaysia",Malaysia,normal,3 wickets,20,Malaysia,field,Virandeep Singh,"S Vachha, Tabarak Dar",N Hemlani,T20,male
1361771,2023-03-08,Mong Kok,"Mission Road Ground, Mong Kok, Hong Kong","Hong Kong, Bahrain",Hong Kong,normal,15 runs,20,Bahrain,field,Aizaz Khan,"John Prakash, Niaz Ali",N Hemlani,T20,male
1361772,2023-03-09,Mong Kok,"Mission Road Ground, Mong Kok, Hong Kong","Malaysia, Bahrain",Malaysia,normal,53 runs,20,Bahrain,field,Muhammad Amir,"G Sankaranarayanan, John Prakash",N Hemlani,T20,male
1361773,2023-03-09,Mong Kok,"Mission Road Ground, Mong Kok, Hong Kong","Hong Kong, Kuwait",Hong Kong,normal,11 runs,20,Kuwait,field,Haroon Arshad,"SJ D'Cruz, Tabarak Dar",N Hemlani,T20,male
1361774,2023-03-11,Mong Kok,"Mission Road Ground, Mong Kok, Hong Kong","Kuwait, Bahrain",Bahrain,normal,4 wickets,20,Bahrain,field,Imran Anwar,"Niaz Ali, Tabarak Dar",N Hemlani,T20,male
1361775,2023-03-11,Mong Kok,"Mission Road Ground, Mong Kok, Hong Kong","Malaysia, Hong Kong",Hong Kong,normal,4 wickets,20,Hong Kong,field,Aizaz Khan,"John Prakash, Tabarak Dar",N Hemlani,T20,male
1361776,2023-03-12,Mong Kok,"Mission Road Ground, Mong Kok, Hong Kong","Bahrain, Kuwait",Kuwait,normal,6 wickets,20,Kuwait,field,Null,"G Sankaranarayanan, SJ D'Cruz",N Hemlani,T20,male
1362242,2023-03-12,Mong Kok,"Mission Road Ground, Mong Kok, Hong Kong","Hong Kong, Malaysia",Hong Kong,normal,39 runs,20,Malaysia,field,Yasim Murtaza,"John Prakash, Tabarak Dar",N Hemlani,T20,male
1365310,2023-03-27,Null,Tafawa Balewa Square (TBS) Cricket Oval,"Rwanda, Ghana",Rwanda,normal,117 runs,20,Ghana,field,H Ishimwe,"D Imobighe, O Akintokun",Null,T20,female
1365321,2023-04-25,Bangkok,"Terdthai Cricket Ground, Bangkok","Zimbabwe, Thailand",Zimbabwe,normal,24 runs,20,Zimbabwe,bat,SM Mayers,"Tabarak Dar, V Kalidas",KB Suresh,T20,female
1365322,2023-04-27,Bangkok,"Terdthai Cricket Ground, Bangkok","Zimbabwe, Thailand",Thailand,normal,5 wickets,20,Zimbabwe,bat,N Boochatham,"Arif Ansari, V Kalidas",KB Suresh,T20,female
1365323,2023-04-28,Bangkok,"Terdthai Cricket Ground, Bangkok","Zimbabwe, Thailand",Thailand,normal,8 wickets,20,Zimbabwe,bat,N Chantam,"Arif Ansari, Tabarak Dar",KB Suresh,T20,female
1367722,2023-04-10,Albergaria,Santarem Cricket Ground,"Portugal, Gibraltar",Portugal,normal,124 runs,20,Portugal,bat,Kuldeep,Null,Null,T20,male
1367723,2023-04-11,Albergaria,Santarem Cricket Ground,"Gibraltar, Portugal",Portugal,normal,5 wickets,20,Gibraltar,bat,SP Gomes,Null,Null,T20,male
1367724,2023-04-11,Albergaria,Santarem Cricket Ground,"Gibraltar, Portugal",Portugal,normal,5 wickets,20,Gibraltar,bat,Azhar Andani,Null,Null,T20,male
